gene	coef	HR	HR_lower_95	HR_upper_95	se_coef	p_value	C_index	log2FoldChange	padj	regulation	cox_p_adj	log2_HR	neglog10p	prognostic_class
CACNA1A	-0.5413631527240994	0.5819544186875022	0.4406506422612312	0.7685701845162275	0.14191064804043163	1.362838893520087e-4	0.6253529079616036	-0.74837159688535	8.08143604714996e-5	NS	0.46241123657136557	-0.7810219357550727	3.8655554807688746	Favorable (Protective DEG)
ZKSCAN7	-0.5813192782737042	0.5591601918509072	0.4069067750620969	0.7683826844687683	0.16217231434421572	3.3762391106242955e-4	0.604107848673066	-0.907690729917111	7.67449679284491e-10	NS	0.5727789651174118	-0.8386664399386243	3.4715668035311587	Favorable (Protective DEG)
PITX2	0.2578877176356955	1.294193495360244	1.1093535204140965	1.5098314221850129	0.0786291417788025	0.001038813627463816	0.5657820440429135	0.846830169126853	1.0927228791217e-4	NS	0.9206895747817477	0.3720533313391912	2.983462361802151	Adverse (Risk DEG)
ZNF763	-0.7459952172967113	0.47426207117736324	0.29314693009576354	0.7672756869190658	0.2454566074950789	0.0023719610764612103	0.5775691699604744	-0.671236879475046	4.83596237169407e-6	NS	0.9206895747817477	-1.07624360052085	2.624892441959044	Favorable (Protective DEG)
PLS1	0.235792716979902	1.2659118809313998	1.081225297599218	1.4821452049277632	0.08045953158927387	0.003383349700256414	0.5740400903444381	0.561692558842469	0.00374628034974021	NS	0.9206895747817477	0.3401769834646395	2.4706531115697845	Adverse (Risk DEG)
GATA3	-0.2604985114345907	0.7706673035638875	0.6463031503353593	0.9189620884166364	0.08979149732458674	0.003717970612222902	0.597755505364201	-0.59747243936546	0.0015260064719904	NS	0.9206895747817477	-0.37581991060564096	2.4296940473236335	Favorable (Protective DEG)
ZFP42	0.17033376025145244	1.185700524991989	1.0544195254743844	1.333326727171302	0.05987016011116547	0.004440407682754287	0.5493365330321852	-1.75888237989969	3.71843077513393e-5	Down	0.9206895747817477	0.24573967121074	2.35257715460555	Adverse (Risk DEG)
TGM2	0.18196074544354116	1.1995671044810086	1.0575108725399935	1.3607058570440669	0.06430874913550029	0.004662274896047241	0.5966967814793902	-0.578045251380555	0.00973062593003791	NS	0.9206895747817477	0.26251386508785585	2.331402123282893	Adverse (Risk DEG)
SLC5A9	-0.710712632590963	0.49129396059262226	0.29987176110491365	0.8049099215792412	0.2518861213782934	0.0047790206969235225	0.5739695087521175	-0.861425127551898	7.90374607725059e-5	NS	0.9206895747817477	-1.025341590536122	2.320661088637981	Favorable (Protective DEG)
SAPCD2	0.2754306539072651	1.3170977660480396	1.0871546498974876	1.595675946832691	0.09789301496687958	0.004899190968659841	0.5592885375494071	0.704220448218673	7.94001258650579e-6	NS	0.9206895747817477	0.3973624385008159	2.3098756315747484	Adverse (Risk DEG)
