Covariate	coef	exp(coef)	se(coef)	z	Pr(>|z|)
NRF2_groupNRF2_High	0.33115209863448974	1.3925715844375612	0.24084262246711066	1.3749729812866147	0.1691398213222115
age	0.024412917686025555	1.024713352811793	0.01057263725601838	2.3090660442482047	0.020939916651233476
stage_groupAdvanced (III-IV)	0.7581124937048336	2.1342440172714325	0.24528214573737914	3.0907773226859168	0.0019963328497865
grade_groupHigh Grade (G3-G4)	0.30013427990686314	1.3500400786612226	0.27030368418071804	1.11035956027222	0.26684411701339983
genderfemale	0.033419660355043776	1.0339843704520721	0.2565464114552657	0.1302675027316498	0.8963547900119436
smoking_groupSmoker	0.17734501340959097	1.1940429829100359	0.26678136133325575	0.6647578845962053	0.5062053638609472
