Covariate	coef	exp(coef)	se(coef)	z	Pr(>|z|)
NRF2_GSVA_score	0.3763926349698814	1.457019098126844	0.283154770318285	1.3292823375244245	0.18375483918718993
age	0.024735561886202108	1.025044023973619	0.010691854866392127	2.3134958522448508	0.02069539254277656
stage_groupAdvanced (III-IV)	0.7656670878203692	2.150428420892804	0.24528830915526623	3.1214984948006874	0.0017993316779178112
grade_groupHigh Grade (G3-G4)	0.2790461937269692	1.3218684044873856	0.26746685379767127	1.0432926165051364	0.2968127896713004
genderfemale	0.015394073559701366	1.0155131726654154	0.25679283056680335	0.05994744294738663	0.9521974938044718
smoking_groupSmoker	0.1920942764176344	1.2117847543054523	0.26616784801461074	0.7217035335052556	0.4704767691713348
