Covariate	coef	exp(coef)	se(coef)	z	Pr(>|z|)
NRF2_optimal_groupNRF2_High	0.5364666011747379	1.7099542250415751	0.25080411134948827	2.138986471506391	0.03243676403672542
age	0.02421577617071764	1.024511359179983	0.010574714102267962	2.2899698220232803	0.022023066106098867
stage_groupAdvanced (III-IV)	0.777408929365247	2.1758272332673925	0.2460741926540448	3.159246083388373	0.0015817786770581
grade_groupHigh Grade (G3-G4)	0.3827332365729418	1.4662868261924697	0.272668577995091	1.403657287492189	0.1604209271502272
genderfemale	0.03095551547549513	1.031439619764923	0.2539968802272161	0.12187360509232822	0.9029991198587692
smoking_groupSmoker	0.1920150572556951	1.211688761535049	0.2666829135012733	0.7200125974879087	0.4715172392886152
