Variable	coef	HR	HR_lower_95	HR_upper_95	se_coef	z	p_value	C_index	C_index_se	n	events
NRF2_Group (Median Split)	0.3148230702886472	1.3700168928187486	0.9155344538027286	2.0501099426818143	0.2056519176778064	1.5308540462135567	0.12580546872603815	0.5265386787125917	0.02752438247733012	222	98
NRF2_Optimal_Cutpoint	0.44573336296650734	1.5616350212868746	1.0304565488734185	2.3666247183113662	0.21211175862293205	2.101408077799595	0.03560515946762651	0.5543478260869565	0.026579120473328163	222	98
NRF2_GSVA_Score (Cont.)	0.4075712245981358	1.5031625038667287	0.9126877441468134	2.475652300057	0.2545621736990836	1.6010675061249406	0.10936196823130277	0.5363495200451722	0.03023192590395496	222	98
Age (Continuous)	0.0217308341388783	1.021968668369507	1.004060415404354	1.040196329927354	0.009019880014980277	2.409215433330331	0.015986857938964916	0.5717108977978543	0.03434707212548165	222	98
Gender (Female vs Male)	-0.004961014102130647	0.9950512714037445	0.6467349390520316	1.530962644717344	0.21982941248327742	-0.022567562939322487	0.9819952182593155	0.4947416713721061	0.025826638292233955	222	98
Stage (Advanced vs Early)	0.7700038336796133	2.159774533652643	1.3642083397270022	3.419291541017811	0.23440713595288337	3.2848992866598854	0.0010201883144578378	0.5807194754563176	0.027799739050522077	196	88
Grade (High vs Low)	0.0878416226358037	1.0918151895223556	0.6910877858548042	1.724904465786907	0.23333594278706893	0.3764598869191949	0.7065750314074059	0.5167569519682196	0.02454762745289602	218	97
Smoking (Smoker vs Non)	0.40477027900081386	1.4989581183457414	0.9215904819935591	2.438041065370192	0.24818037455252825	1.6309520030768703	0.10290044751343577	0.5420513193283419	0.02380440400106649	219	96
